chr,start,end,bin,V5,V6,V7,V8,V9,gene_id,V11,hgnc_symbol,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,coverage,dataset,condition,target,coverage.fold
chr1,1290390,1311609,17220,-,ensembl_havana,gene,NA,NA,ENSG00000131584,19,ACAP3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17220,ACAP3,0.5935076425,Gene Body,D8L4Y_0h,Total Pol II,2.623634941074875
chr1,1309585,1326687,13103,-,ensembl_havana,gene,NA,NA,ENSG00000127054,22,INTS11,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13103,INTS11,0.8264602778,Gene Body,D8L4Y_0h,Total Pol II,3.6534155703757896
chr1,1333276,1351418,14143,-,ensembl_havana,gene,NA,NA,ENSG00000107404,21,DVL1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14143,DVL1,0.708428272,Gene Body,D8L4Y_0h,Total Pol II,3.1316482460703874
chr1,1383711,1401335,13625,-,ensembl_havana,gene,NA,NA,ENSG00000221978,13,CCNL2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13625,CCNL2,0.8501031774,Gene Body,D8L4Y_0h,Total Pol II,3.757930378706813
chr1,1399909,1409293,5385,-,ensembl_havana,gene,NA,NA,ENSG00000242485,6,MRPL20,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5385,MRPL20,1.403613931,Gene Body,D8L4Y_0h,Total Pol II,6.204756753660604
chr1,1436861,1440882,8022,+,ensembl_havana,gene,NA,NA,ENSG00000179403,12,VWA1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8022,VWA1,0.2547892543,Gene Body,D8L4Y_0h,Total Pol II,1.1263106695241785
chr1,1473765,1495848,26084,+,ensembl_havana,gene,NA,NA,ENSG00000160072,20,ATAD3B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26084,ATAD3B,0.3405971229,Gene Body,D8L4Y_0h,Total Pol II,1.5056293272078858
chr1,1514162,1532685,22524,+,ensembl_havana,gene,NA,NA,ENSG00000197785,14,ATAD3A,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22524,ATAD3A,0.2791848131,Gene Body,D8L4Y_0h,Total Pol II,1.2341526514826948
chr1,1532778,1542624,5847,-,ensembl_havana,gene,NA,NA,ENSG00000205090,10,TMEM240,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5847,TMEM240,0.3533617007,Gene Body,D8L4Y_0h,Total Pol II,1.5620558833733333
chr1,1539673,1576863,33191,-,ensembl_havana,gene,NA,NA,ENSG00000160075,12,SSU72,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33191,SSU72,0.5467407253,Gene Body,D8L4Y_0h,Total Pol II,2.4168990723749606
chr1,1617454,1628605,15152,+,ensembl_havana,gene,NA,NA,ENSG00000197530,13,MIB2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15152,MIB2,0.6315283626,Gene Body,D8L4Y_0h,Total Pol II,2.7917077384511746
chr1,1633225,1661012,23788,-,ensembl_havana,gene,NA,NA,ENSG00000248333,9,CDK11B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23788,CDK11B,0.4157440099,Gene Body,D8L4Y_0h,Total Pol II,1.837820497679975
chr1,1657529,1694795,33267,-,ensembl_havana,gene,NA,NA,ENSG00000189339,12,SLC35E2B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33267,SLC35E2B,0.6174104333,Gene Body,D8L4Y_0h,Total Pol II,2.7292986135221646
chr1,1700379,1726357,21979,-,ensembl_havana,gene,NA,NA,ENSG00000008128,23,CDK11A,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21979,CDK11A,0.5041454929,Gene Body,D8L4Y_0h,Total Pol II,2.2286043781784244
chr1,1749232,1782457,29226,-,ensembl_havana,gene,NA,NA,ENSG00000008130,15,NADK,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29226,NADK,0.5124298107,Gene Body,D8L4Y_0h,Total Pol II,2.265225685279872
chr1,1783285,1894292,107008,-,ensembl_havana,gene,NA,NA,ENSG00000078369,19,GNB1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107008,GNB1,0.312703432,Gene Body,D8L4Y_0h,Total Pol II,1.382323649504195
chr1,1919951,2005837,81887,-,ensembl_havana,gene,NA,NA,ENSG00000142609,20,CFAP74,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81887,CFAP74,0.1445332035,Gene Body,D8L4Y_0h,Total Pol II,0.6389174050915198
chr1,2052411,2183395,134985,+,ensembl_havana,gene,NA,NA,ENSG00000067606,17,PRKCZ,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134985,PRKCZ,0.1696397054,Gene Body,D8L4Y_0h,Total Pol II,0.7499021522390728
chr1,2182461,2214720,28260,-,ensembl_havana,gene,NA,NA,ENSG00000162585,17,FAAP20,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28260,FAAP20,0.5131534131,Gene Body,D8L4Y_0h,Total Pol II,2.2684244116384553
chr1,2229388,2308213,82826,+,ensembl_havana,gene,NA,NA,ENSG00000157933,11,SKI,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82826,SKI,0.2091395526,Gene Body,D8L4Y_0h,Total Pol II,0.9245135167103204
chr1,2319253,2393707,70455,-,ensembl_havana,gene,NA,NA,ENSG00000116151,14,MORN1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70455,MORN1,0.3528736635,Gene Body,D8L4Y_0h,Total Pol II,1.559898486637765
chr1,2393775,2403442,13668,+,ensembl_havana,gene,NA,NA,ENSG00000157916,20,RER1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13668,RER1,0.4100164796,Gene Body,D8L4Y_0h,Total Pol II,1.812501617946855
chr1,2401964,2415797,9834,-,ensembl_havana,gene,NA,NA,ENSG00000157911,11,PEX10,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9834,PEX10,0.929997027,Gene Body,D8L4Y_0h,Total Pol II,4.111105772547745
chr1,2506537,2528597,18061,-,ensembl_havana,gene,NA,NA,ENSG00000157881,16,PANK4,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18061,PANK4,0.3414687648,Gene Body,D8L4Y_0h,Total Pol II,1.5094824707585097
chr1,3071168,3436621,369454,+,ensembl_havana,gene,NA,NA,ENSG00000142611,17,PRDM16,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369454,PRDM16,0.109281407,Gene Body,D8L4Y_0h,Total Pol II,0.4830847950117583
chr1,3456665,3479113,26449,+,ensembl_havana,gene,NA,NA,ENSG00000130762,15,ARHGEF16,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26449,ARHGEF16,0.2040842119,Gene Body,D8L4Y_0h,Total Pol II,0.9021660900728313
chr1,3485951,3613508,123558,-,ensembl_havana,gene,NA,NA,ENSG00000162591,17,MEGF6,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123558,MEGF6,0.2131236087,Gene Body,D8L4Y_0h,Total Pol II,0.9421252676679546
chr1,3627015,3628127,5113,+,ensembl_havana,gene,NA,NA,ENSG00000158109,15,TPRG1L,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5113,TPRG1L,0.2342010205,Gene Body,D8L4Y_0h,Total Pol II,1.0352991884501184
chr1,3628767,3654761,21995,-,ensembl_havana,gene,NA,NA,ENSG00000116213,16,WRAP73,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21995,WRAP73,0.4461179954,Gene Body,D8L4Y_0h,Total Pol II,1.9720904614530221
chr1,3654516,3734201,83686,+,ensembl_havana,gene,NA,NA,ENSG00000078900,16,TP73,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83686,TP73,0.1442592031,Gene Body,D8L4Y_0h,Total Pol II,0.6377061704387015
chr1,3776559,3798498,17940,-,ensembl_havana,gene,NA,NA,ENSG00000130764,10,LRRC47,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17940,LRRC47,0.6285102093,Gene Body,D8L4Y_0h,Total Pol II,2.778365816817199
chr1,3810086,3859396,45311,-,ensembl_havana,gene,NA,NA,ENSG00000116198,14,CEP104,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45311,CEP104,0.2103706828,Gene Body,D8L4Y_0h,Total Pol II,0.9299557991317006
chr1,3859267,3883429,28163,+,ensembl_havana,gene,NA,NA,ENSG00000169598,17,DFFB,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28163,DFFB,0.1402034067,Gene Body,D8L4Y_0h,Total Pol II,0.6197772873259189
chr1,3887125,3902293,11169,-,ensembl_havana,gene,NA,NA,ENSG00000198912,12,C1orf174,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11169,C1orf174,0.4290468694,Gene Body,D8L4Y_0h,Total Pol II,1.8966265593060638
chr1,5860811,5994473,129663,-,ensembl_havana,gene,NA,NA,ENSG00000131697,18,NPHP4,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129663,NPHP4,0.1447636099,Gene Body,D8L4Y_0h,Total Pol II,0.6399359299400642
chr1,6207475,6219299,15825,+,ensembl_havana,gene,NA,NA,ENSG00000158286,13,RNF207,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15825,RNF207,0.3234197286,Gene Body,D8L4Y_0h,Total Pol II,1.4296956598800883
chr1,6219193,6237972,14780,-,ensembl_havana,gene,NA,NA,ENSG00000116237,16,ICMT,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14780,ICMT,0.789923316,Gene Body,D8L4Y_0h,Total Pol II,3.4919018125825225
chr1,6262269,6395767,129499,-,ensembl_havana,gene,NA,NA,ENSG00000097021,21,ACOT7,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129499,ACOT7,0.2399062704,Gene Body,D8L4Y_0h,Total Pol II,1.0605195763833775
chr1,6410418,6426670,12253,-,ensembl_havana,gene,NA,NA,ENSG00000069812,11,HES2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12253,HES2,0.851683371,Gene Body,D8L4Y_0h,Total Pol II,3.764915716124137
chr1,6426776,6459367,36592,+,ensembl_havana,gene,NA,NA,ENSG00000187017,18,ESPN,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36592,ESPN,0.5623742685,Gene Body,D8L4Y_0h,Total Pol II,2.4860080564135676
chr1,6458786,6468175,5390,-,ensembl_havana,gene,NA,NA,ENSG00000215788,11,TNFRSF25,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5390,TNFRSF25,0.8155763818,Gene Body,D8L4Y_0h,Total Pol II,3.6053026771359606
chr1,6465122,6522074,52953,-,ensembl_havana,gene,NA,NA,ENSG00000171680,23,PLEKHG5,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52953,PLEKHG5,0.3997808845,Gene Body,D8L4Y_0h,Total Pol II,1.7672545764194079
chr1,6519347,6556513,33167,-,ensembl_havana,gene,NA,NA,ENSG00000162408,11,NOL9,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33167,NOL9,0.3435402294,Gene Body,D8L4Y_0h,Total Pol II,1.518639500111775
chr1,6557307,6577755,24449,+,ensembl_havana,gene,NA,NA,ENSG00000173662,21,TAS1R1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24449,TAS1R1,0.1114980312,Gene Body,D8L4Y_0h,Total Pol II,0.49288351079215725
chr1,6581994,6587280,9287,+,ensembl_havana,gene,NA,NA,ENSG00000204859,13,ZBTB48,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9287,ZBTB48,0.4539879595,Gene Body,D8L4Y_0h,Total Pol II,2.0068800940023026
chr1,6588724,6616607,23884,-,ensembl_havana,gene,NA,NA,ENSG00000162413,17,KLHL21,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23884,KLHL21,0.7420026699,Gene Body,D8L4Y_0h,Total Pol II,3.2800658183950615
chr1,6615731,6622030,10300,+,ensembl_havana,gene,NA,NA,ENSG00000116273,6,PHF13,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10300,PHF13,0.2347028945,Gene Body,D8L4Y_0h,Total Pol II,1.0375177515622473
chr1,6626868,6633586,10719,+,ensembl_havana,gene,NA,NA,ENSG00000041988,16,THAP3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10719,THAP3,0.3894185801,Gene Body,D8L4Y_0h,Total Pol II,1.7214474090855956
chr1,6632168,6703924,67757,-,ensembl_havana,gene,NA,NA,ENSG00000007923,17,DNAJC11,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67757,DNAJC11,0.3114167314,Gene Body,D8L4Y_0h,Total Pol II,1.3766357149080335
chr1,6787454,7767706,984253,+,ensembl_havana,gene,NA,NA,ENSG00000171735,21,CAMTA1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,984253,CAMTA1,0.1354502727,Gene Body,D8L4Y_0h,Total Pol II,0.5987657829256011
chr1,7773296,7779432,10137,+,ensembl_havana,gene,NA,NA,ENSG00000049245,13,VAMP3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10137,VAMP3,0.2232695341,Gene Body,D8L4Y_0h,Total Pol II,0.9869759190881324
chr1,7786291,7843177,60887,+,ensembl_havana,gene,NA,NA,ENSG00000049246,15,PER3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60887,PER3,0.1384199866,Gene Body,D8L4Y_0h,Total Pol II,0.6118935753837002
chr1,7956291,7983505,31215,+,ensembl_havana,gene,NA,NA,ENSG00000116288,13,PARK7,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31215,PARK7,0.8397816868,Gene Body,D8L4Y_0h,Total Pol II,3.712303631141998
chr1,8002404,8028309,21906,-,ensembl_havana,gene,NA,NA,ENSG00000116285,13,ERRFI1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21906,ERRFI1,2.69133021,Gene Body,D8L4Y_0h,Total Pol II,11.897181217723544
chr1,8320114,8342167,26054,+,ensembl_havana,gene,NA,NA,ENSG00000162426,16,SLC45A1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26054,SLC45A1,0.1783955118,Gene Body,D8L4Y_0h,Total Pol II,0.7886077020304167
chr1,8859000,8881190,18191,-,ensembl_havana,gene,NA,NA,ENSG00000074800,16,ENO1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18191,ENO1,1.367595095,Gene Body,D8L4Y_0h,Total Pol II,6.045533401003531
chr1,9098305,9131102,28798,-,ensembl_havana,gene,NA,NA,ENSG00000180758,12,GPR157,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28798,GPR157,0.2789411127,Gene Body,D8L4Y_0h,Total Pol II,1.2330753597364579
chr1,9236774,9269337,36564,+,ensembl_havana,gene,NA,NA,ENSG00000049239,13,H6PD,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36564,H6PD,0.175710902,Gene Body,D8L4Y_0h,Total Pol II,0.7767402287747004
chr1,9294894,9367532,76639,+,ensembl_havana,gene,NA,NA,ENSG00000171621,14,SPSB1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76639,SPSB1,0.150430502,Gene Body,D8L4Y_0h,Total Pol II,0.6649867549947073
chr1,9541465,9583173,45709,+,ensembl_havana,gene,NA,NA,ENSG00000171612,7,SLC25A33,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45709,SLC25A33,0.2039701242,Gene Body,D8L4Y_0h,Total Pol II,0.9016617587809779
chr1,9590911,9612877,25967,+,ensembl_havana,gene,NA,NA,ENSG00000188807,13,TMEM201,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25967,TMEM201,0.196216092,Gene Body,D8L4Y_0h,Total Pol II,0.8673846099165644
chr1,9726926,9825984,95059,-,ensembl_havana,gene,NA,NA,ENSG00000171603,18,CLSTN1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95059,CLSTN1,0.203688449,Gene Body,D8L4Y_0h,Total Pol II,0.9004165972298286
chr1,9846276,9912336,62061,-,ensembl_havana,gene,NA,NA,ENSG00000178585,15,CTNNBIP1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62061,CTNNBIP1,0.1841464957,Gene Body,D8L4Y_0h,Total Pol II,0.8140302597620117
chr1,9920113,9945407,21295,-,ensembl_havana,gene,NA,NA,ENSG00000162441,12,LZIC,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21295,LZIC,0.6120628315,Gene Body,D8L4Y_0h,Total Pol II,2.7056592297488797
chr1,9945428,9983501,42074,+,ensembl_havana,gene,NA,NA,ENSG00000173614,14,NMNAT1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42074,NMNAT1,0.1943064522,Gene Body,D8L4Y_0h,Total Pol II,0.8589429364731642
chr1,9999206,10014021,18816,+,ensembl_havana,gene,NA,NA,ENSG00000162444,12,RBP7,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18816,RBP7,0.153459601,Gene Body,D8L4Y_0h,Total Pol II,0.6783770627300875
chr1,10034832,10179239,148408,+,ensembl_havana,gene,NA,NA,ENSG00000130939,20,UBE4B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148408,UBE4B,0.1632550974,Gene Body,D8L4Y_0h,Total Pol II,0.7216786224403537
chr1,10212570,10379603,171034,+,ensembl_havana,gene,NA,NA,ENSG00000054523,20,KIF1B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171034,KIF1B,0.1558092728,Gene Body,D8L4Y_0h,Total Pol II,0.6887639231394516
chr1,10400592,10418511,21920,+,ensembl_havana,gene,NA,NA,ENSG00000142657,21,PGD,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21920,PGD,0.2097417452,Gene Body,D8L4Y_0h,Total Pol II,0.927175544009517
chr1,10454522,10474529,16008,-,ensembl_havana,gene,NA,NA,ENSG00000160049,12,DFFA,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16008,DFFA,0.5216971124,Gene Body,D8L4Y_0h,Total Pol II,2.30619232969777
chr1,10474288,10628758,158471,+,ensembl_havana,gene,NA,NA,ENSG00000142655,13,PEX14,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158471,PEX14,0.2035752933,Gene Body,D8L4Y_0h,Total Pol II,0.899916385898006
chr1,10634604,10798650,160047,-,ensembl_havana,gene,NA,NA,ENSG00000130940,15,CASZ1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160047,CASZ1,0.136921607,Gene Body,D8L4Y_0h,Total Pol II,0.6052699014963774
chr1,11014344,11028528,18185,+,ensembl_havana,gene,NA,NA,ENSG00000120948,19,TARDBP,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18185,TARDBP,0.4372252983,Gene Body,D8L4Y_0h,Total Pol II,1.932779778386367
chr1,11052584,11062020,5437,-,ensembl_havana,gene,NA,NA,ENSG00000116649,10,SRM,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5437,SRM,0.8860412761,Gene Body,D8L4Y_0h,Total Pol II,3.916796827448655
chr1,11064618,11101869,33252,-,ensembl_havana,gene,NA,NA,ENSG00000171824,14,EXOSC10,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33252,EXOSC10,0.399792128,Gene Body,D8L4Y_0h,Total Pol II,1.7673042789629771
chr1,11104535,11264556,156022,-,ensembl_havana,gene,NA,NA,ENSG00000198793,14,MTOR,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156022,MTOR,0.1914408511,Gene Body,D8L4Y_0h,Total Pol II,0.8462753806831937
chr1,11275198,11294049,22852,+,ensembl_havana,gene,NA,NA,ENSG00000120942,14,UBIAD1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22852,UBIAD1,0.1658182342,Gene Body,D8L4Y_0h,Total Pol II,0.7330091172574189
chr1,11481155,11535551,58397,+,ensembl_havana,gene,NA,NA,ENSG00000204624,8,DISP3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58397,DISP3,0.1094809782,Gene Body,D8L4Y_0h,Total Pol II,0.4839670110710944
chr1,11655230,11693811,34582,-,ensembl_havana,gene,NA,NA,ENSG00000116670,17,MAD2L2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34582,MAD2L2,0.4246563655,Gene Body,D8L4Y_0h,Total Pol II,1.877218082285542
chr1,11656375,11661327,8953,+,ensembl_havana,gene,NA,NA,ENSG00000132879,14,FBXO44,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8953,FBXO44,0.263075303,Gene Body,D8L4Y_0h,Total Pol II,1.1629396281694213
chr1,11666200,11672354,10155,+,ensembl_havana,gene,NA,NA,ENSG00000116663,11,FBXO6,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10155,FBXO6,0.3313152885,Gene Body,D8L4Y_0h,Total Pol II,1.4645984401471337
