,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,RFP_Intensity,GFP_Intensity,RFP_Intensity_BGS,GFP_Intensity_BGS,RFP_Intensity_FC,GFP_Intensity_FC
78,241026_mACmChPOLR2A_ActivePolII,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,685,227.41858522322036,218.86892568481926,50.19813146256945,31.796475464551207,0.6909940998787196,0.16400759364114384
81,241026_mACmChPOLR2A_ActivePolII,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1115,226.6931638950677,217.69768650608748,49.472710134416786,30.625236285819426,0.6810084322238699,0.1579662913749167
82,241026_mACmChPOLR2A_ActivePolII,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1193,220.34370645786566,206.89213085054172,43.12325269721475,19.819680630273666,0.5936060230364048,0.1022307686438747
83,241026_mACmChPOLR2A_ActivePolII,G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1198,225.35724164007107,273.0752680963358,48.136787879420154,86.00281787606772,0.6626190147454987,0.4436062488100834
84,241026_mACmChPOLR2A_ActivePolII,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1386,227.45063240107723,209.75680893957366,50.23017864042632,22.684358719305607,0.691435240020228,0.1170069019440084
85,241026_mACmChPOLR2A_ActivePolII,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1225,226.30841425707473,268.91640540517903,49.08796049642382,81.84395518491098,0.6757122245357041,0.4221546554402151
86,241026_mACmChPOLR2A_ActivePolII,G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1260,225.4674953818989,207.94855928077445,48.247041621248,20.876109060506394,0.6641366944453776,0.10767987211100975
87,241026_mACmChPOLR2A_ActivePolII,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1314,221.3597565736338,264.1094343575961,44.13930281298289,77.03698413732806,0.6075922933361346,0.3973600911780326
88,241026_mACmChPOLR2A_ActivePolII,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1584,226.71157778816027,206.49907427005022,49.49112402750936,19.426624049782163,0.6812619056323821,0.10020336582675754
91,241026_mACmChPOLR2A_ActivePolII,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1766,225.5523629035218,267.1112650715485,48.3319091428709,80.03881485128042,0.665304924317768,0.41284366364071884
92,241026_mACmChPOLR2A_ActivePolII,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1750,227.2983009095333,203.6560976116975,50.0778471488824,16.58364739142945,0.6893383459961734,0.0855391694432874
93,241026_mACmChPOLR2A_ActivePolII,G16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1584,228.93115781799006,264.43975560794803,51.71070405733914,77.36730538767998,0.711815168475734,0.3990639024529379
94,241026_mACmChPOLR2A_ActivePolII,G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1432,228.02189212959627,203.38826170850038,50.801438368945355,16.315811488232328,0.6992988215999392,0.08415766028756241
95,241026_mACmChPOLR2A_ActivePolII,G18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1198,229.32538208984386,269.15402865615243,52.104928329192944,82.08157843588438,0.7172417976737367,0.4233803264309757
96,241026_mACmChPOLR2A_ActivePolII,G19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,585,228.59990234328967,201.50012904587282,51.37944858263876,14.427678825604772,0.7072553258700153,0.07441859047090839
97,241026_mACmChPOLR2A_ActivePolII,G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,794,232.32657790411815,267.40738877907336,55.10612414346724,80.3349385588053,0.7585542636923294,0.41437108251283233
98,241026_mACmChPOLR2A_ActivePolII,G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,909,234.64946721808846,202.61657706592706,57.42901345743755,15.544126845659008,0.7905296134485582,0.08017727757440994
101,241026_mACmChPOLR2A_ActivePolII,H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1055,226.95565032462767,277.1834114788598,49.73519656397676,90.11096125859174,0.6846216458802271,0.4647962297956085
102,241026_mACmChPOLR2A_ActivePolII,H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1211,229.74223926608514,203.4062259121762,52.521785505434224,16.33377569190816,0.7229799763844246,0.08425032042594276
103,241026_mACmChPOLR2A_ActivePolII,H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1331,218.15341640902093,266.69348203359766,40.93296264837002,79.62103181332961,0.5634559465957445,0.41068872068816453
104,241026_mACmChPOLR2A_ActivePolII,H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1500,220.86239282666023,199.8733370311798,43.641939066009314,12.800886810911749,0.6007459147033248,0.06602752700282419
105,241026_mACmChPOLR2A_ActivePolII,H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1472,219.61564007227346,265.2492131725665,42.39518631162255,78.17676295229845,0.5835839452795989,0.40323911952929914
106,241026_mACmChPOLR2A_ActivePolII,H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1236,224.7874271318785,198.4563760828163,47.56697337122759,11.383925862548239,0.6547753271078434,0.05871878123684587
107,241026_mACmChPOLR2A_ActivePolII,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1552,218.54908916718577,262.89783260275107,41.32863540653486,75.82538238248301,0.5689025146931748,0.39111059700107387
108,241026_mACmChPOLR2A_ActivePolII,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,2057,223.31259880849063,200.8992421894872,46.09214504783972,13.826791969219158,0.63447382105368,0.07131919011515933
111,241026_mACmChPOLR2A_ActivePolII,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1361,222.8022975919149,265.4186611331528,45.581843831263996,78.34621091288474,0.6274493538167333,0.4041131394279555
112,241026_mACmChPOLR2A_ActivePolII,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1579,228.7193706680584,200.49661470398192,51.49891690740748,13.424164483713867,0.7088998473916805,0.06924242015664218
113,241026_mACmChPOLR2A_ActivePolII,H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1376,221.77019043758358,261.5650473043042,44.54973667693267,74.49259708403613,0.6132420530008185,0.38423603287266095
114,241026_mACmChPOLR2A_ActivePolII,H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1394,231.7167238721605,201.03442006829974,54.496270111509574,13.961969848031686,0.7501594185936783,0.07201644345200396
115,241026_mACmChPOLR2A_ActivePolII,H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1044,227.00846382568528,263.72961603800144,49.78801006503437,76.65716581773339,0.6853486414189347,0.3954009718823423
116,241026_mACmChPOLR2A_ActivePolII,H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1164,230.04119018490738,196.50484565715644,52.82073642425647,9.432395436888385,0.7270951359539302,0.04865270302051085
117,241026_mACmChPOLR2A_ActivePolII,H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,961,231.49276947068867,271.0015091440046,54.27231571003776,83.92905892373656,0.7470766112151948,0.4329097105744921
118,241026_mACmChPOLR2A_ActivePolII,H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,819,221.75330122281576,193.78308126618302,44.53284746216485,6.710631045914965,0.6130095673003328,0.034613724746979595
121,241026_mACmChPOLR2A_ActivePolII,I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1217,216.96757212876247,259.9290239632984,39.74711836811156,72.85657374303034,0.5471324027274926,0.37579735382478197
122,241026_mACmChPOLR2A_ActivePolII,I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1155,220.96331391111744,198.71422458657577,43.74286015046653,11.641774366307715,0.6021351272473275,0.06004877495494546
123,241026_mACmChPOLR2A_ActivePolII,I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1169,224.7406801405963,278.6244824042615,47.5202263799454,91.55203218399348,0.6541318391089491,0.472229335864388
124,241026_mACmChPOLR2A_ActivePolII,I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1487,221.19679876988397,199.4598304651455,43.97634500923306,12.387380244877448,0.6053491245639206,0.06389464227710336
125,241026_mACmChPOLR2A_ActivePolII,I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1670,223.43431937061885,260.3160988227682,46.21386560996794,73.24364860250014,0.6361493453772743,0.3777939026665365
126,241026_mACmChPOLR2A_ActivePolII,I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1538,224.0960288956155,197.58760995329072,46.87557513496458,10.51515973302267,0.645257998713249,0.05423764802133368
127,241026_mACmChPOLR2A_ActivePolII,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1064,226.72907217813113,274.2823649339127,49.50861841748022,87.20991471364462,0.6815027217723187,0.44983250642921907
128,241026_mACmChPOLR2A_ActivePolII,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1633,225.47777734840733,196.50470810982407,48.25732358775642,9.432257889556013,0.6642782291596282,0.04865199354543021
131,241026_mACmChPOLR2A_ActivePolII,I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1412,223.2989328242568,267.49183193375904,46.0784790636059,80.41938171349099,0.6342857042015289,0.41480664395154926
132,241026_mACmChPOLR2A_ActivePolII,I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1386,229.3578791509939,196.09065983876079,52.137425390343,9.018209618492733,0.717689130609522,0.046516314681775285
133,241026_mACmChPOLR2A_ActivePolII,I16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1177,219.25613894898893,261.81426175812953,42.03568518833802,74.74181153786148,0.5786352918566201,0.3855214917883214
134,241026_mACmChPOLR2A_ActivePolII,I17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1196,222.72256102617288,193.30547569271684,45.50210726552197,6.233025472448787,0.6263517532713143,0.032150214572680094
135,241026_mACmChPOLR2A_ActivePolII,I18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,970,219.78320331123555,260.6519147497991,42.56274955058464,73.57946452953107,0.5858905094106902,0.37952605572105086
136,241026_mACmChPOLR2A_ActivePolII,I19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,961,224.76522191064504,193.34576309865236,47.54476814999413,6.273312878384303,0.6544696647970805,0.032358018752388445
137,241026_mACmChPOLR2A_ActivePolII,I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,841,219.29523074648515,258.2147586570309,42.074776985834234,71.14230843676287,0.5791734035479622,0.36695509934104614
138,241026_mACmChPOLR2A_ActivePolII,I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,806,228.72714233735576,193.50619002796248,51.506688576704846,6.4337398076944226,0.7090068270236753,0.033185507782130884
141,241026_mACmChPOLR2A_ActivePolII,J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1222,217.75438906591265,267.92839381869163,40.533935305261735,80.85594359842358,0.5579632015125195,0.4170584490078379
142,241026_mACmChPOLR2A_ActivePolII,J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1208,214.09933417174003,224.59244802945176,36.87888041108911,37.51999780918371,0.5076501461652431,0.19352976907662628
143,241026_mACmChPOLR2A_ActivePolII,J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1308,217.47723392665714,272.32522991810686,40.25678016600622,85.2527796978388,0.5541480681520393,0.4397375194948656
144,241026_mACmChPOLR2A_ActivePolII,J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1774,216.3797196903524,223.8132963703185,39.15926592970149,36.74084615005046,0.5390404169362772,0.18951087116957951
145,241026_mACmChPOLR2A_ActivePolII,J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1764,217.38931703343889,270.7185604503252,40.16886327278797,83.64611023005713,0.5529378626578612,0.431450248992783
146,241026_mACmChPOLR2A_ActivePolII,J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1782,217.9317920652648,217.85412068647813,40.71133830461389,30.781670466210073,0.5604052132424687,0.15877318563329756
147,241026_mACmChPOLR2A_ActivePolII,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1116,220.5839392975271,270.63804638368293,43.3634855368762,83.56559616341488,0.5969129085711173,0.43103495395987973
148,241026_mACmChPOLR2A_ActivePolII,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1775,222.9568961436121,225.15755562564178,45.7364423829612,38.085105405373724,0.6295774546834403,0.19644461846308686
151,241026_mACmChPOLR2A_ActivePolII,J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1627,219.27267241610383,264.0299989812984,42.05221865545292,76.95754876103032,0.5788628805714601,0.39695036007651174
152,241026_mACmChPOLR2A_ActivePolII,J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1391,220.2131018450079,219.6026425777447,42.992648084357,32.530192357476636,0.5918082067776672,0.16779213706189855
153,241026_mACmChPOLR2A_ActivePolII,J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1064,219.1628993152768,260.84079662442457,41.94244555462589,73.76834640415652,0.5773518170560097,0.380500316587614
154,241026_mACmChPOLR2A_ActivePolII,J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1290,220.48394755793052,217.82019502521996,43.26349379727961,30.747744804951907,0.5955364887705242,0.15859819560737975
155,241026_mACmChPOLR2A_ActivePolII,J18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1060,218.95218555477146,259.4355994488283,41.73173179412055,72.36314922856027,0.574451271537079,0.37325224886961156
156,241026_mACmChPOLR2A_ActivePolII,J19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1079,223.28363787878072,219.04906857053106,46.06318411812981,31.97661835026301,0.6340751641520487,0.16493677842547952
157,241026_mACmChPOLR2A_ActivePolII,J20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,867,221.31605609415516,264.70801083479546,44.095602333504246,77.6355606145274,0.6069907415930358,0.4004475744981605
158,241026_mACmChPOLR2A_ActivePolII,J21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,592,223.26001256792665,216.40974415145763,46.03955880727574,29.337293931189578,0.6337499538318172,0.15132302908734505
161,241026_mACmChPOLR2A_ActivePolII,K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1294,217.59130372963725,270.04107097475656,40.370849968986334,82.96862075448851,0.5557182772123578,0.4279557290190492
162,241026_mACmChPOLR2A_ActivePolII,K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,970,218.82711731296266,204.46688178323075,41.606663552311744,17.394431562962694,0.5727296652809472,0.08972122921540726
163,241026_mACmChPOLR2A_ActivePolII,K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1527,219.69869410646734,271.40826876968555,42.47824034581643,84.3358185494175,0.5847272118898688,0.43500779429049
164,241026_mACmChPOLR2A_ActivePolII,K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1354,220.70107822734207,207.2238057936731,43.480624466691154,20.151355573405056,0.5985253651907148,0.10394156232459846
165,241026_mACmChPOLR2A_ActivePolII,K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1688,218.98537928988662,272.68301131526545,41.76492552923571,85.6105610949974,0.5749081944234342,0.44158297139292163
166,241026_mACmChPOLR2A_ActivePolII,K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1426,221.33300376088013,204.8468120629501,44.11255000022922,17.774361842682055,0.6072240319042977,0.09168092600625591
167,241026_mACmChPOLR2A_ActivePolII,K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1330,221.186055782667,251.61323056457786,43.9656020220161,64.54078034430981,0.6052012437451391,0.33290413233985433
168,241026_mACmChPOLR2A_ActivePolII,K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1473,220.92465495511607,204.23339370517493,43.704201194465156,17.16094348490688,0.6016029737641977,0.08851688762514132
171,241026_mACmChPOLR2A_ActivePolII,K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1357,223.24066020508215,272.76619957249954,46.02020644443124,85.69374935223149,0.6334835620727088,0.44201206001638793
172,241026_mACmChPOLR2A_ActivePolII,K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1454,226.41678326458808,203.18231543246443,49.196329503937164,16.109865212196382,0.6772039602362107,0.08309538050156327
